id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
0,335982,2008,bangalore,2008-04-18,League,brendon barrie mccullum,m chinnaswamy stadium,royal challengers bengaluru,kolkata knight riders,royal challengers bengaluru,field,kolkata knight riders,runs,140.0,223.0,20.0,N,,Asad Rauf,RE Koertzen
1,335983,2008,chandigarh,2008-04-19,League,michael edward killeen hussey,"punjab cricket association stadium, mohali",punjab kings,chennai super kings,chennai super kings,bat,chennai super kings,runs,33.0,241.0,20.0,N,,MR Benson,SL Shastri
2,335984,2008,delhi,2008-04-19,League,mohammad farveez maharoof,feroz shah kotla,delhi capitals,rajasthan royals,rajasthan royals,bat,delhi capitals,wickets,9.0,130.0,20.0,N,,Aleem Dar,GA Pratapkumar
3,335985,2008,mumbai,2008-04-20,League,mark verdon boucher,wankhede stadium,mumbai indians,royal challengers bengaluru,mumbai indians,bat,royal challengers bengaluru,wickets,5.0,166.0,20.0,N,,SJ Davis,DJ Harper
4,335986,2008,kolkata,2008-04-20,League,david john hussey,eden gardens,kolkata knight riders,deccan chargers,deccan chargers,bat,kolkata knight riders,wickets,5.0,111.0,20.0,N,,BF Bowden,K Hariharan
5,335987,2008,jaipur,2008-04-21,League,shane robert watson,sawai mansingh stadium,rajasthan royals,punjab kings,punjab kings,bat,rajasthan royals,wickets,6.0,167.0,20.0,N,,Aleem Dar,RB Tiffin
6,335988,2008,hyderabad,2008-04-22,League,virender sehwag,"rajiv gandhi international stadium, uppal",deccan chargers,delhi capitals,deccan chargers,bat,delhi capitals,wickets,9.0,143.0,20.0,N,,IL Howell,AM Saheba
7,335989,2008,chennai,2008-04-23,League,matthew lawrence hayden,"ma chidambaram stadium, chepauk",chennai super kings,mumbai indians,mumbai indians,field,chennai super kings,runs,6.0,209.0,20.0,N,,DJ Harper,GA Pratapkumar
8,335990,2008,hyderabad,2008-04-24,League,yusuf khan pathan,"rajiv gandhi international stadium, uppal",deccan chargers,rajasthan royals,rajasthan royals,field,rajasthan royals,wickets,3.0,215.0,20.0,N,,Asad Rauf,MR Benson
9,335991,2008,chandigarh,2008-04-25,League,kumar chokshanada sangakkara,"punjab cricket association stadium, mohali",punjab kings,mumbai indians,mumbai indians,field,punjab kings,runs,66.0,183.0,20.0,N,,Aleem Dar,AM Saheba
10,335992,2008,bangalore,2008-04-26,League,shane robert watson,m chinnaswamy stadium,royal challengers bengaluru,rajasthan royals,rajasthan royals,field,rajasthan royals,wickets,7.0,136.0,20.0,N,,MR Benson,IL Howell
