Player,Matches,Overs,Runs,Wickets,Econ,SR,Bowling avg
a flintoff,3,11.0,105,2.0,9.545454545454543,33.0,53.0
a nel,1,3.0,31,1.0,10.333333333333334,18.0,31.0
a singh,23,78.0,602,31.0,7.717948717948718,15.290322580645162,20.61290322580645
a uniyal,2,6.0,64,3.0,10.666666666666666,12.0,22.33333333333333
aa kazi,1,2.0,20,1.0,10.0,12.0,21.0
aakarshit jhunjhunwala,10,14.0,126,1.0,9.0,85.0,130.0
aaron finch,5,7.0,66,1.0,9.428571428571429,43.0,67.0
aavishkar chavan,13,41.0,318,8.0,7.7560975609756095,31.0,42.375
abdul samad,5,9.0,108,2.0,12.0,27.0,56.5
abdur razzak,1,2.0,19,,9.5,,
abhishek nayar,19,38.0,311,9.0,8.18421052631579,25.444444444444443,35.888888888888886
abhishek sharma,26,45.0,379,11.0,8.422222222222222,24.63636363636364,36.0
adam craig gilchrist,1,,0,1.0,,1.0,0.0
adam mathews,44,131.0,1054,28.0,8.045801526717558,28.25,39.10714285714285
adam voges,7,9.0,74,1.0,8.222222222222221,54.0,76.0
adam zampa,20,69.0,547,30.0,7.927536231884058,13.966666666666669,18.73333333333333
afghanistan rashid,3,10.0,91,2.0,9.1,30.0,45.5
aiden markram,14,20.0,170,2.0,8.5,60.5,86.5
ajantha hosein,1,4.0,40,1.0,10.0,24.0,41.0
ajinkya madhukar rahane,1,1.0,5,1.0,5.0,6.0,5.0
ajinkya rahane roy,9,22.0,185,6.0,8.409090909090908,22.666666666666668,31.83333333333333
ajit bhalchandra agarkar,42,130.0,1106,33.0,8.507692307692308,23.87878787878788,35.57575757575758
akash deep,8,27.0,301,8.0,11.148148148148149,21.375,40.5
akash madhwal,13,43.0,387,22.0,9.0,12.818181818181818,19.59090909090909
akash mithun,16,48.0,435,8.0,9.0625,37.625,59.625
akash singh,7,23.0,224,5.0,9.73913043478261,27.6,45.4
akila dananjaya,1,4.0,46,,11.5,,
akshar patel,148,517.0,3707,131.0,7.170212765957447,23.70229007633588,29.19083969465649
akshay palkar dole,3,11.0,105,5.0,9.545454545454543,13.2,22.8
alfred milne,10,34.0,313,9.0,9.205882352941176,23.0,37.66666666666666
alzarri joseph,22,72.0,668,22.0,9.27777777777778,19.772727272727277,32.13636363636363
am salvi,7,25.0,190,7.0,7.6,21.428571428571427,29.285714285714285
aman hakim khan,1,1.0,13,,13.0,,
amir gul murtaza,12,44.0,304,12.0,6.909090909090909,22.0,26.83333333333333
amit chandila,12,39.0,242,11.0,6.205128205128205,21.272727272727277,22.272727272727277
amit choudhary,5,16.0,137,5.0,8.5625,20.2,28.8
amit mishra,162,561.0,4043,183.0,7.206773618538325,18.540983606557376,22.91256830601093
amit singh menaria,12,18.0,140,3.0,7.777777777777778,36.66666666666666,48.0
anand rajan,8,24.0,188,10.0,7.833333333333333,14.9,20.6
andre russell,112,282.0,2546,125.0,9.02836879432624,13.696,21.528
andrew mascarenhas,13,51.0,353,19.0,6.921568627450981,16.210526315789473,19.210526315789476
andrew mcdonald,10,31.0,259,14.0,8.35483870967742,13.285714285714286,18.785714285714285
andrew symonds,30,87.0,656,23.0,7.540229885057471,22.91304347826087,30.17391304347826
andrew thomas,15,52.0,392,16.0,7.538461538461538,19.8125,26.0
andrew tye,30,114.0,948,48.0,8.31578947368421,14.291666666666666,20.9375
anil kumble,42,160.0,1019,49.0,6.36875,19.857142857142858,22.22448979591837
ankit sharma,21,61.0,436,12.0,7.147540983606557,30.58333333333333,37.75
ankit soni,6,18.0,141,4.0,7.833333333333333,27.25,36.25
anrich nortje,46,175.0,1503,62.0,8.588571428571429,17.322580645161292,26.032258064516128
anureet singh,22,68.0,593,21.0,8.720588235294118,20.0,30.285714285714285
anwar ali ahmed,17,57.0,451,15.0,7.912280701754386,24.0,34.333333333333336
arjun kamboj,3,10.0,102,2.0,10.2,32.0,57.5
arjun tendulkar,5,12.0,100,4.0,8.333333333333334,19.25,29.25
arshad khan,10,24.0,280,6.0,11.666666666666666,24.33333333333333,51.16666666666666
arshdeep singh,65,227.0,1949,84.0,8.58590308370044,16.345238095238095,24.964285714285715
as raut,5,5.0,44,,8.8,,
ashish diwansingh nehra,88,318.0,2405,121.0,7.562893081761007,15.909090909090908,20.96694214876033
ashish reddy,20,43.0,384,19.0,8.930232558139535,13.894736842105264,21.05263157894737
ashley allen noffke,1,4.0,35,1.0,8.75,24.0,41.0
ashok bhimchandra dinda,75,252.0,1961,82.0,7.781746031746032,18.804878048780488,25.646341463414632
atharva taide,1,,4,,,,
auk pathan,3,6.0,57,,9.5,,
avesh khan,62,222.0,1895,81.0,8.536036036036036,16.65432098765432,24.814814814814813
avesh rajpoot,29,88.0,761,24.0,8.647727272727273,22.541666666666668,35.166666666666664
ayush badoni,5,4.0,36,2.0,9.0,12.5,18.5
azhar mahmood,23,89.0,673,31.0,7.561797752808989,17.580645161290324,22.806451612903224
azmatullah omarzai,7,21.0,181,4.0,8.619047619047619,31.5,48.5
b akhil,13,31.0,235,7.0,7.580645161290323,26.857142857142858,35.142857142857146
b geeves,2,8.0,90,2.0,11.25,24.0,45.5
barinder singh sran,24,80.0,714,20.0,8.925,24.35,38.35
basil thampi,25,86.0,828,26.0,9.627906976744184,20.03846153846154,33.15384615384615
bawantha mendis,10,40.0,295,9.0,7.375,27.11111111111111,34.0
benjamin andrew stokes,38,114.0,953,31.0,8.359649122807017,22.32258064516129,33.0
benjamin cutting,17,46.0,422,12.0,9.173913043478262,23.416666666666668,35.833333333333336
benjamin john rohrer,1,1.0,11,,11.0,,
benjamin laughlin,9,28.0,270,10.0,9.642857142857142,16.9,28.4
beuran hendricks,7,25.0,223,11.0,8.92,13.727272727272728,21.727272727272727
bhanuka madushanka,2,5.0,36,1.0,7.2,30.0,36.0
bharat chipli,1,1.0,20,,20.0,,
bhavin bhatt,15,49.0,388,13.0,7.918367346938775,22.846153846153847,31.384615384615383
bhuvneshwar kumar,176,651.0,4730,195.0,7.265745007680492,20.123076923076923,25.902564102564103
billy stanlake,6,24.0,194,7.0,8.083333333333334,20.571428571428573,28.571428571428573
bipul sharma,28,71.0,557,22.0,7.845070422535211,19.363636363636363,26.40909090909091
bradley john hodge,20,39.0,294,18.0,7.538461538461538,13.0,17.22222222222222
brett lee,38,145.0,1029,30.0,7.096551724137931,29.6,37.53333333333333
bw hilfenhaus,17,62.0,458,23.0,7.387096774193548,16.304347826086957,21.608695652173918
c ganapathy,1,1.0,13,,13.0,,
cameron green,29,73.0,634,20.0,8.684931506849315,21.95,33.75
cameron leon white,6,7.0,81,1.0,11.571428571428571,42.0,86.0
carlos ricardo brathwaite,16,42.0,361,16.0,8.595238095238095,16.0,24.0
chama v milind,70,265.0,1958,85.0,7.388679245283019,18.74117647058824,24.023529411764702
chamara kantha kapugedera,3,2.0,49,,24.5,,
chamara ramanayake dilshan fernando,10,39.0,276,19.0,7.076923076923077,12.473684210526317,16.105263157894736
charl langeveldt,7,26.0,178,13.0,6.846153846153846,12.0,15.307692307692308
chetan sakariya,19,71.0,554,20.0,7.802816901408451,21.75,30.5
chintan nanda,3,8.0,55,2.0,6.875,24.0,29.0
chris morris,81,287.0,2210,107.0,7.700348432055749,16.22429906542056,22.21495327102804
christopher henry gayle,38,92.0,678,19.0,7.369565217391305,29.26315789473684,39.73684210526316
christopher james jordan,34,112.0,1026,36.0,9.160714285714286,18.916666666666668,30.86111111111111
christopher roger woakes,21,73.0,634,31.0,8.684931506849315,14.225806451612904,21.741935483870968
cj dala,1,3.0,33,,11.0,,
cj green,1,2.0,24,,12.0,,
clint john mckay,2,7.0,60,1.0,8.571428571428571,42.0,60.0
colin de grandhomme,19,36.0,295,7.0,8.194444444444445,31.714285714285715,46.142857142857146
colin munro,2,2.0,15,,7.5,,
corey james anderson,22,49.0,497,14.0,10.142857142857142,21.214285714285715,37.5
d jansen,1,4.0,49,1.0,12.25,24.0,53.0
